2023-06-05 10:17:14.787 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2023-06-05 10:17:14.811 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2023-06-05 10:17:15.026 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2023-06-05 10:17:15.032 [main] INFO  org.springframework.context.support.DefaultLifecycleProcessor - Starting beans in phase 2147483647
2023-06-05 10:17:15.033 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2023-06-05 10:17:15.047 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2023-06-05 10:17:15.059 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2023-06-05 10:17:15.307 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8894 (http)
2023-06-05 10:17:15.312 [main] INFO  com.myng.Application - Started Application in 3.312 seconds (JVM running for 4.873)
2023-06-05 10:17:44.896 [http-nio-8894-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2023-06-05 10:17:44.896 [http-nio-8894-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2023-06-05 10:17:44.919 [http-nio-8894-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 23 ms
2023-06-05 10:17:45.705 [http-nio-8894-exec-2] INFO  com.myng.controller.UserManager - 查看到的结果是1
2023-06-05 10:17:45.767 [http-nio-8894-exec-1] INFO  com.myng.controller.UserManager - 查看到的结果是0
2023-06-05 10:17:45.808 [http-nio-8894-exec-3] INFO  com.myng.controller.UserManager - cookies验证通过
2023-06-05 10:17:45.904 [http-nio-8894-exec-3] INFO  com.myng.controller.UserManager - 添加用户的数量是:1
2023-06-05 10:17:47.968 [http-nio-8894-exec-6] INFO  com.myng.controller.UserManager - cookies验证通过
2023-06-05 10:17:47.987 [http-nio-8894-exec-6] INFO  com.myng.controller.UserManager - getUserInfo获取到的用户数量是1
2023-06-05 10:17:50.058 [http-nio-8894-exec-4] INFO  com.myng.controller.UserManager - cookies验证通过
2023-06-05 10:17:50.064 [http-nio-8894-exec-4] INFO  com.myng.controller.UserManager - 更新数据的条目数为:1
2023-06-05 10:17:53.116 [http-nio-8894-exec-5] INFO  com.myng.controller.UserManager - cookies验证通过
2023-06-05 10:17:53.118 [http-nio-8894-exec-5] INFO  com.myng.controller.UserManager - 更新数据的条目数为:1
2023-06-05 10:17:55.162 [http-nio-8894-exec-7] INFO  com.myng.controller.UserManager - cookies验证通过
2023-06-05 10:17:55.164 [http-nio-8894-exec-7] INFO  com.myng.controller.UserManager - getUserInfo获取到的用户数量是2
